C:\Documents and Settings\Wintest\Desktop\runs\201222Anna\20-1.4.CSV

"Points","Elapsed Time ","Scan Time ","Disp  ","Load 2 ","E11    ","E12    ","E22    ","Axial cmd","Axial err",
"      ","Sec          ","Sec       ","mm    ","N      ","%      ","%      ","%      ","mm       ","%        ",
       1,         0.0000,      0.0000,  -0.001,     0.00,     0.00,     0.00,     0.00,      0.000,       0.01,
       2,         0.0250,      0.0250,   0.000,    -0.01,     0.00,     0.00,     0.00,      0.000,      -0.01,
       3,         0.0500,      0.0500,   0.000,     0.00,     0.00,     0.00,     0.00,      0.000,      -0.01,
       4,         0.0750,      0.0750,  -0.001,    -0.04,     0.00,     0.00,     0.00,      0.000,       0.01,
       5,         0.1000,      0.1000,   0.000,     0.01,     0.00,     0.00,     0.00,      0.000,      -0.00,
       6,         0.1250,      0.1250,   0.000,    -0.01,     0.00,     0.00,     0.00,      0.000,      -0.00,
       7,         0.1500,      0.1500,   0.000,    -0.03,     0.00,     0.00,     0.00,      0.000,       0.00,
       8,         0.1750,      0.1750,   0.000,    -0.04,     0.00,     0.00,     0.00,      0.000,      -0.01,
       9,         0.2000,      0.2000,  -0.001,     0.00,     0.00,     0.00,     0.00,      0.000,       0.01,
      10,         0.2250,      0.2250,   0.000,    -0.04,     0.00,     0.00,     0.00,      0.000,      -0.00,
      11,         0.2500,      0.2500,   0.000,    -0.01,     0.00,     0.00,     0.00,      0.000,       0.00,
      12,         0.2750,      0.2750,   0.000,    -0.01,     0.00,     0.00,     0.00,      0.000,       0.00,
      13,         0.3000,      0.3000,   0.000,    -0.01,     0.00,     0.00,     0.00,      0.000,       0.00,
      14,         0.3250,      0.3250,  -0.001,    -0.05,     0.00,     0.00,     0.00,      0.000,       0.01,
      15,         0.3500,      0.3500,   0.000,    -0.01,     0.00,     0.00,     0.00,      0.000,       0.00,
      16,         0.3750,      0.3750,   0.000,    -0.01,     0.00,     0.00,     0.00,      0.000,      -0.00,
      17,         0.4000,      0.4000,   0.000,    -0.01,     0.00,     0.00,     0.00,      0.000,       0.00,
      18,         0.4250,      0.4250,   0.000,    -0.01,     0.00,     0.00,     0.00,      0.000,       0.00,
      19,         0.4500,      0.4500,   0.000,    -0.01,     0.00,     0.00,     0.00,      0.000,      -0.01,
      20,         0.4750,      0.4750,   0.000,     0.00,     0.00,     0.00,     0.00,      0.000,      -0.00,
