C:\Documents and Settings\Wintest\Desktop\runs\190813 Anna\15% v20_20%.CSV

"Points","Elapsed Time ","Scan Time ","Disp  ","Load 2 ","E11    ","E12    ","E22    ","Axial cmd","Axial err",
"      ","Sec          ","Sec       ","mm    ","N      ","%      ","%      ","%      ","V        ","%        ",
      59,         1.9372,      1.9372,   0.124,     0.03,     0.00,     0.00,     0.00,      0.197,       0.06,
      60,         1.9706,      1.9706,   0.135,     0.03,     0.00,     0.00,     0.00,      0.212,       0.05,
      61,         2.0040,      2.0040,   0.142,     0.00,     0.00,     0.00,     0.00,      0.223,       0.04,
      62,         2.0374,      2.0374,   0.148,     0.03,     0.00,     0.00,     0.00,      0.229,       0.02,
      63,         2.0708,      2.0708,   0.150,     0.03,     0.00,     0.00,     0.00,      0.230,       0.00,
      64,         2.1042,      2.1042,   0.149,     0.02,     0.00,     0.00,     0.00,      0.226,      -0.03,
      65,         2.1376,      2.1376,   0.147,     0.03,     0.00,     0.00,     0.00,      0.218,      -0.09,
      66,         2.1710,      2.1710,   0.141,     0.03,     0.00,     0.00,     0.00,      0.204,      -0.13,
      67,         2.2044,      2.2044,   0.130,     0.02,     0.00,     0.00,     0.00,      0.187,      -0.13,
      68,         2.2378,      2.2378,   0.114,     0.00,     0.00,     0.00,     0.00,      0.167,      -0.09,
      69,         2.2712,      2.2712,   0.099,     0.01,     0.00,     0.00,     0.00,      0.144,      -0.09,
      70,         2.3046,      2.3046,   0.085,    -0.01,     0.00,     0.00,     0.00,      0.120,      -0.10,
      71,         2.3380,      2.3380,   0.070,    -0.01,     0.00,     0.00,     0.00,      0.096,      -0.11,
      72,         2.3714,      2.3714,   0.053,     0.00,     0.00,     0.00,     0.00,      0.073,      -0.09,
      73,         2.4048,      2.4048,   0.038,    -0.02,     0.00,     0.00,     0.00,      0.052,      -0.07,
      74,         2.4382,      2.4382,   0.028,    -0.05,     0.00,     0.00,     0.00,      0.033,      -0.09,
      75,         2.4716,      2.4716,   0.015,    -0.01,     0.00,     0.00,     0.00,      0.018,      -0.05,
      76,         2.5050,      2.5050,   0.007,    -0.03,     0.00,     0.00,     0.00,      0.007,      -0.04,
      77,         2.5384,      2.5384,   0.003,    -0.02,     0.00,     0.00,     0.00,      0.001,      -0.03,
      78,         2.5718,      2.5718,   0.000,    -0.02,     0.00,     0.00,     0.00,      0.000,       0.00,
      79,         2.6052,      2.6052,   0.000,    -0.03,     0.00,     0.00,     0.00,      0.005,       0.04,
      80,         2.6386,      2.6386,   0.003,    -0.03,     0.00,     0.00,     0.00,      0.013,       0.09,
      81,         2.6720,      2.6720,   0.009,    -0.03,     0.00,     0.00,     0.00,      0.027,       0.13,
      82,         2.7054,      2.7054,   0.022,    -0.03,     0.00,     0.00,     0.00,      0.044,       0.10,
      83,         2.7388,      2.7388,   0.035,    -0.01,     0.00,     0.00,     0.00,      0.065,       0.10,
      84,         2.7722,      2.7722,   0.050,     0.01,     0.00,     0.00,     0.00,      0.088,       0.10,
      85,         2.8056,      2.8056,   0.066,    -0.01,     0.00,     0.00,     0.00,      0.111,       0.10,
      86,         2.8390,      2.8390,   0.082,    -0.01,     0.00,     0.00,     0.00,      0.135,       0.09,
      87,         2.8724,      2.8724,   0.096,     0.03,     0.00,     0.00,     0.00,      0.158,       0.10,
      88,         2.9058,      2.9058,   0.112,     0.02,     0.00,     0.00,     0.00,      0.179,       0.07,
      89,         2.9392,      2.9392,   0.124,     0.03,     0.00,     0.00,     0.00,      0.198,       0.07,
      90,         2.9726,      2.9726,   0.135,     0.03,     0.00,     0.00,     0.00,      0.212,       0.05,
      91,         3.0060,      3.0060,   0.142,     0.02,     0.00,     0.00,     0.00,      0.223,       0.04,
      92,         3.0394,      3.0394,   0.147,     0.05,     0.00,     0.00,     0.00,      0.229,       0.02,
      93,         3.0728,      3.0728,   0.150,     0.03,     0.00,     0.00,     0.00,      0.230,      -0.01,
      94,         3.1062,      3.1062,   0.149,     0.03,     0.00,     0.00,     0.00,      0.226,      -0.03,
      95,         3.1396,      3.1396,   0.146,     0.03,     0.00,     0.00,     0.00,      0.217,      -0.08,
      96,         3.1730,      3.1730,   0.140,     0.03,     0.00,     0.00,     0.00,      0.203,      -0.13,
      97,         3.2064,      3.2064,   0.129,     0.02,     0.00,     0.00,     0.00,      0.186,      -0.12,
      98,         3.2398,      3.2398,   0.115,     0.01,     0.00,     0.00,     0.00,      0.165,      -0.12,
      99,         3.2732,      3.2732,   0.098,     0.02,     0.00,     0.00,     0.00,      0.143,      -0.08,
     100,         3.3066,      3.3066,   0.084,    -0.01,     0.00,     0.00,     0.00,      0.119,      -0.10,
     101,         3.3400,      3.3400,   0.068,     0.01,     0.00,     0.00,     0.00,      0.095,      -0.09,
     102,         3.3734,      3.3734,   0.053,     0.00,     0.00,     0.00,     0.00,      0.072,      -0.09,
     103,         3.4068,      3.4068,   0.039,    -0.02,     0.00,     0.00,     0.00,      0.052,      -0.08,
     104,         3.4402,      3.4402,   0.026,    -0.03,     0.00,     0.00,     0.00,      0.033,      -0.06,
     105,         3.4736,      3.4736,   0.016,    -0.02,     0.00,     0.00,     0.00,      0.019,      -0.05,
     106,         3.5070,      3.5070,   0.007,    -0.03,     0.00,     0.00,     0.00,      0.008,      -0.03,
     107,         3.5404,      3.5404,   0.002,    -0.03,     0.00,     0.00,     0.00,      0.003,      -0.00,
     108,         3.5738,      3.5738,   0.001,    -0.03,     0.00,     0.00,     0.00,      0.003,       0.01,
     109,         3.6072,      3.6072,   0.002,    -0.03,     0.00,     0.00,     0.00,      0.007,       0.04,
     110,         3.6406,      3.6406,   0.004,    -0.03,     0.00,     0.00,     0.00,      0.016,       0.10,
     111,         3.6740,      3.6740,   0.011,    -0.03,     0.00,     0.00,     0.00,      0.030,       0.12,
     112,         3.7074,      3.7074,   0.024,    -0.02,     0.00,     0.00,     0.00,      0.047,       0.11,
     113,         3.7408,      3.7408,   0.038,     0.00,     0.00,     0.00,     0.00,      0.067,       0.09,
